Date,Deaths,ObjectId
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-04,,
2020-01-05,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-11,,
2020-01-12,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-18,,
2020-01-19,,
2020-01-20,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-25,,
2020-01-26,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-01,,
2020-02-02,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-08,,
2020-02-09,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-15,,
2020-02-16,,
2020-02-17,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-22,,
2020-02-23,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-02-29,,
2020-03-01,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,1,2241
2020-03-06,1,2242
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,1,2243
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,2,2244
2020-03-15,1,2245
2020-03-16,,
2020-03-17,3,2246
2020-03-18,1,2247
2020-03-19,2,2248
2020-03-20,2,2249
2020-03-21,7,2250
2020-03-22,4,2251
2020-03-23,5,2252
2020-03-24,14,2253
2020-03-25,20,2254
2020-03-26,13,2255
2020-03-27,18,2256
2020-03-28,12,2257
2020-03-29,19,2258
2020-03-30,22,2259
2020-03-31,31,2260
2020-04-01,32,2261
2020-04-02,36,2262
2020-04-03,30,2263
2020-04-04,36,2264
2020-04-05,43,2265
2020-04-06,44,2266
2020-04-07,45,2267
2020-04-08,43,2268
2020-04-09,39,2269
2020-04-10,41,2270
2020-04-11,41,2271
2020-04-12,35,2272
2020-04-13,45,2273
2020-04-14,49,2274
2020-04-15,42,2275
2020-04-16,43,2276
2020-04-17,56,2277
2020-04-18,39,2278
2020-04-19,49,2279
2020-04-20,50,2280
2020-04-21,47,2281
2020-04-22,43,2282
2020-04-23,52,2283
2020-04-24,39,2284
2020-04-25,40,2285
2020-04-26,50,2286
2020-04-27,42,2287
2020-04-28,53,2288
2020-04-29,45,2289
2020-04-30,51,2290
2020-05-01,51,2291
2020-05-02,30,2292
2020-05-03,41,2293
2020-05-04,59,2294
2020-05-05,38,2295
2020-05-06,49,2296
2020-05-07,42,2297
2020-05-08,33,2298
2020-05-09,32,2299
2020-05-10,38,2300
2020-05-11,43,2301
2020-05-12,43,2302
2020-05-13,41,2303
2020-05-14,46,2304
2020-05-15,32,2305
2020-05-16,35,2306
2020-05-17,36,2307
2020-05-18,22,2308
2020-05-19,34,2309
2020-05-20,37,2310
2020-05-21,33,2311
2020-05-22,29,2312
2020-05-23,41,2313
2020-05-24,28,2314
2020-05-25,31,2315
2020-05-26,19,2316
2020-05-27,35,2317
2020-05-28,30,2318
2020-05-29,19,2319
2020-05-30,25,2320
2020-05-31,18,2321
2020-06-01,15,2322
2020-06-02,14,2323
2020-06-03,9,2324
2020-06-04,,
