EventDate,Count
2019-12-31 19:00:00 -0500,3
2020-01-03 19:00:00 -0500,2
2020-01-05 19:00:00 -0500,2
2020-01-11 19:00:00 -0500,1
2020-01-13 19:00:00 -0500,2
2020-01-14 19:00:00 -0500,6
2020-01-17 19:00:00 -0500,1
2020-01-18 19:00:00 -0500,1
2020-01-19 19:00:00 -0500,5
2020-01-22 19:00:00 -0500,1
2020-01-23 19:00:00 -0500,1
2020-01-24 19:00:00 -0500,2
2020-01-26 19:00:00 -0500,1
2020-01-29 19:00:00 -0500,1
2020-01-30 19:00:00 -0500,3
2020-01-31 19:00:00 -0500,9
2020-02-01 19:00:00 -0500,3
2020-02-02 19:00:00 -0500,2
2020-02-03 19:00:00 -0500,3
2020-02-04 19:00:00 -0500,2
2020-02-05 19:00:00 -0500,4
2020-02-06 19:00:00 -0500,2
2020-02-07 19:00:00 -0500,1
2020-02-08 19:00:00 -0500,1
2020-02-09 19:00:00 -0500,4
2020-02-10 19:00:00 -0500,1
2020-02-11 19:00:00 -0500,5
2020-02-12 19:00:00 -0500,3
2020-02-13 19:00:00 -0500,6
2020-02-14 19:00:00 -0500,9
2020-02-15 19:00:00 -0500,2
2020-02-16 19:00:00 -0500,5
2020-02-17 19:00:00 -0500,7
2020-02-18 19:00:00 -0500,5
2020-02-19 19:00:00 -0500,10
2020-02-20 19:00:00 -0500,6
2020-02-21 19:00:00 -0500,10
2020-02-22 19:00:00 -0500,7
2020-02-23 19:00:00 -0500,9
2020-02-24 19:00:00 -0500,13
2020-02-25 19:00:00 -0500,7
2020-02-26 19:00:00 -0500,8
2020-02-27 19:00:00 -0500,22
2020-02-28 19:00:00 -0500,13
2020-02-29 19:00:00 -0500,75
2020-03-01 19:00:00 -0500,44
2020-03-02 19:00:00 -0500,46
2020-03-03 19:00:00 -0500,51
2020-03-04 19:00:00 -0500,71
2020-03-05 19:00:00 -0500,79
2020-03-06 19:00:00 -0500,88
2020-03-07 19:00:00 -0500,87
2020-03-08 20:00:00 -0400,162
2020-03-09 20:00:00 -0400,241
2020-03-10 20:00:00 -0400,265
2020-03-11 20:00:00 -0400,270
2020-03-12 20:00:00 -0400,380
2020-03-13 20:00:00 -0400,399
2020-03-14 20:00:00 -0400,590
2020-03-15 20:00:00 -0400,694
2020-03-16 20:00:00 -0400,732
2020-03-17 20:00:00 -0400,783
2020-03-18 20:00:00 -0400,671
2020-03-19 20:00:00 -0400,973
2020-03-20 20:00:00 -0400,694
2020-03-21 20:00:00 -0400,660
2020-03-22 20:00:00 -0400,985
2020-03-23 20:00:00 -0400,773
2020-03-24 20:00:00 -0400,923
2020-03-25 20:00:00 -0400,821
2020-03-26 20:00:00 -0400,899
2020-03-27 20:00:00 -0400,834
2020-03-28 20:00:00 -0400,747
2020-03-29 20:00:00 -0400,1016
2020-03-30 20:00:00 -0400,808
2020-03-31 20:00:00 -0400,1096
2020-04-01 20:00:00 -0400,884
2020-04-02 20:00:00 -0400,885
2020-04-03 20:00:00 -0400,840
2020-04-04 20:00:00 -0400,789
2020-04-05 20:00:00 -0400,993
2020-04-06 20:00:00 -0400,798
2020-04-07 20:00:00 -0400,786
2020-04-08 20:00:00 -0400,764
2020-04-09 20:00:00 -0400,938
2020-04-10 20:00:00 -0400,685
2020-04-11 20:00:00 -0400,594
2020-04-12 20:00:00 -0400,769
2020-04-13 20:00:00 -0400,653
2020-04-14 20:00:00 -0400,837
2020-04-15 20:00:00 -0400,759
2020-04-16 20:00:00 -0400,754
2020-04-17 20:00:00 -0400,625
2020-04-18 20:00:00 -0400,538
2020-04-19 20:00:00 -0400,842
2020-04-20 20:00:00 -0400,625
2020-04-21 20:00:00 -0400,651
2020-04-22 20:00:00 -0400,783
2020-04-23 20:00:00 -0400,665
2020-04-24 20:00:00 -0400,582
2020-04-25 20:00:00 -0400,499
2020-04-26 20:00:00 -0400,682
2020-04-27 20:00:00 -0400,623
2020-04-28 20:00:00 -0400,586
2020-04-29 20:00:00 -0400,640
2020-04-30 20:00:00 -0400,755
2020-05-01 20:00:00 -0400,596
2020-05-02 20:00:00 -0400,481
2020-05-03 20:00:00 -0400,593
2020-05-04 20:00:00 -0400,619
2020-05-05 20:00:00 -0400,578
2020-05-06 20:00:00 -0400,666
2020-05-07 20:00:00 -0400,613
2020-05-08 20:00:00 -0400,531
2020-05-09 20:00:00 -0400,625
2020-05-10 20:00:00 -0400,606
2020-05-11 20:00:00 -0400,663
2020-05-12 20:00:00 -0400,751
2020-05-13 20:00:00 -0400,840
2020-05-14 20:00:00 -0400,500
2020-05-15 20:00:00 -0400,519
2020-05-16 20:00:00 -0400,467
2020-05-17 20:00:00 -0400,450
2020-05-18 20:00:00 -0400,436
2020-05-19 20:00:00 -0400,521
2020-05-20 20:00:00 -0400,512
2020-05-21 20:00:00 -0400,520
2020-05-22 20:00:00 -0400,498
2020-05-23 20:00:00 -0400,408
2020-05-24 20:00:00 -0400,342
2020-05-25 20:00:00 -0400,289
2020-05-26 20:00:00 -0400,18
