Date,Deaths,ObjectId
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-04,,
2020-01-05,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-11,,
2020-01-12,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-18,,
2020-01-19,,
2020-01-20,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-25,,
2020-01-26,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-01,,
2020-02-02,,
2020-02-03,,
2020-02-04,,
2020-02-05,,
2020-02-06,,
2020-02-07,,
2020-02-08,,
2020-02-09,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-15,,
2020-02-16,,
2020-02-17,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-22,,
2020-02-23,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-02-29,,
2020-03-01,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,1,2410
2020-03-06,1,2411
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,1,2412
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,2,2413
2020-03-15,1,2414
2020-03-16,,
2020-03-17,3,2415
2020-03-18,1,2416
2020-03-19,2,2417
2020-03-20,2,2418
2020-03-21,7,2419
2020-03-22,4,2420
2020-03-23,5,2421
2020-03-24,14,2422
2020-03-25,20,2423
2020-03-26,13,2424
2020-03-27,18,2425
2020-03-28,12,2426
2020-03-29,19,2427
2020-03-30,22,2428
2020-03-31,31,2429
2020-04-01,32,2430
2020-04-02,36,2431
2020-04-03,30,2432
2020-04-04,36,2433
2020-04-05,43,2434
2020-04-06,44,2435
2020-04-07,45,2436
2020-04-08,43,2437
2020-04-09,39,2438
2020-04-10,41,2439
2020-04-11,41,2440
2020-04-12,35,2441
2020-04-13,45,2442
2020-04-14,49,2443
2020-04-15,42,2444
2020-04-16,43,2445
2020-04-17,56,2446
2020-04-18,39,2447
2020-04-19,49,2448
2020-04-20,50,2449
2020-04-21,47,2450
2020-04-22,43,2451
2020-04-23,52,2452
2020-04-24,39,2453
2020-04-25,40,2454
2020-04-26,50,2455
2020-04-27,42,2456
2020-04-28,53,2457
2020-04-29,45,2458
2020-04-30,51,2459
2020-05-01,51,2460
2020-05-02,30,2461
2020-05-03,41,2462
2020-05-04,59,2463
2020-05-05,38,2464
2020-05-06,49,2465
2020-05-07,42,2466
2020-05-08,33,2467
2020-05-09,32,2468
2020-05-10,37,2469
2020-05-11,44,2470
2020-05-12,43,2471
2020-05-13,41,2472
2020-05-14,46,2473
2020-05-15,32,2474
2020-05-16,35,2475
2020-05-17,39,2476
2020-05-18,22,2477
2020-05-19,36,2478
2020-05-20,38,2479
2020-05-21,35,2480
2020-05-22,30,2481
2020-05-23,41,2482
2020-05-24,31,2483
2020-05-25,33,2484
2020-05-26,21,2485
2020-05-27,35,2486
2020-05-28,30,2487
2020-05-29,19,2488
2020-05-30,26,2489
2020-05-31,23,2490
2020-06-01,17,2491
2020-06-02,23,2492
2020-06-03,24,2493
2020-06-04,5,2494
2020-06-05,,
