EventDate,Count
2019-12-31,3
2020-01-01,
2020-01-02,
2020-01-03,2
2020-01-04,
2020-01-05,2
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,1
2020-01-12,
2020-01-13,2
2020-01-14,6
2020-01-15,
2020-01-16,
2020-01-17,1
2020-01-18,1
2020-01-19,5
2020-01-20,
2020-01-21,
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,
2020-01-26,1
2020-01-27,
2020-01-28,
2020-01-29,1
2020-01-30,3
2020-01-31,10
2020-02-01,3
2020-02-02,2
2020-02-03,3
2020-02-04,2
2020-02-05,4
2020-02-06,2
2020-02-07,1
2020-02-08,1
2020-02-09,4
2020-02-10,1
2020-02-11,6
2020-02-12,3
2020-02-13,6
2020-02-14,9
2020-02-15,2
2020-02-16,5
2020-02-17,7
2020-02-18,5
2020-02-19,10
2020-02-20,6
2020-02-21,10
2020-02-22,7
2020-02-23,9
2020-02-24,15
2020-02-25,7
2020-02-26,8
2020-02-27,22
2020-02-28,14
2020-02-29,76
2020-03-01,44
2020-03-02,46
2020-03-03,51
2020-03-04,71
2020-03-05,79
2020-03-06,89
2020-03-07,87
2020-03-08,162
2020-03-09,243
2020-03-10,269
2020-03-11,270
2020-03-12,382
2020-03-13,404
2020-03-14,595
2020-03-15,696
2020-03-16,734
2020-03-17,786
2020-03-18,669
2020-03-19,974
2020-03-20,692
2020-03-21,658
2020-03-22,988
2020-03-23,781
2020-03-24,924
2020-03-25,823
2020-03-26,903
2020-03-27,841
2020-03-28,750
2020-03-29,1013
2020-03-30,806
2020-03-31,1102
2020-04-01,891
2020-04-02,883
2020-04-03,839
2020-04-04,795
2020-04-05,989
2020-04-06,798
2020-04-07,788
2020-04-08,763
2020-04-09,947
2020-04-10,682
2020-04-11,597
2020-04-12,768
2020-04-13,656
2020-04-14,838
2020-04-15,766
2020-04-16,754
2020-04-17,628
2020-04-18,540
2020-04-19,851
2020-04-20,623
2020-04-21,654
2020-04-22,788
2020-04-23,664
2020-04-24,579
2020-04-25,491
2020-04-26,687
2020-04-27,635
2020-04-28,588
2020-04-29,653
2020-04-30,774
2020-05-01,608
2020-05-02,487
2020-05-03,612
2020-05-04,637
2020-05-05,591
2020-05-06,693
2020-05-07,654
2020-05-08,547
2020-05-09,684
2020-05-10,658
2020-05-11,727
2020-05-12,801
2020-05-13,924
2020-05-14,607
2020-05-15,609
2020-05-16,581
2020-05-17,633
2020-05-18,594
2020-05-19,718
2020-05-20,681
2020-05-21,756
2020-05-22,656
2020-05-23,575
2020-05-24,686
2020-05-25,538
2020-05-26,593
2020-05-27,622
2020-05-28,536
2020-05-29,501
2020-05-30,448
2020-05-31,495
2020-06-01,482
2020-06-02,988
2020-06-03,128
